"x";"y"
"157";-37.7948663688111;-20.8014260862335
"158";-39.0059858174784;-19.4067877666621
"159";-38.1338284632644;-19.5697214654862
"160";-37.871375389055;-20.6956652553722
"161";-38.2765653103293;-19.7600950491096
"162";-37.8170712992005;-20.7212605300283
"163";-37.6325955331899;-19.7800843693854
"164";-38.6210864127183;-19.4116964190977
"165";-38.2769969475644;-19.214970673705
"166";-37.9888756472485;-19.126362699737
"167";-37.3973157679872;-20.6464758119923
"168";-38.3200498635337;-20.0696716649194
"169";-37.8321535711905;-20.7363820422753
"170";-37.9686349227789;-19.7162052182038
"171";-38.5884474484148;-19.4867040167893
"172";-38.2956656519363;-19.3920803742689
"173";-37.9608203869319;-19.6644977287773
"174";-38.3133542242484;-18.783745424477
"175";-38.1529935431262;-19.9420127132815
"176";-38.6519280066833;-19.3496957730824
"177";-38.2297401826245;-19.6814875680007
"178";-39.6480384270428;-19.8010755394801
"179";-38.2929441344952;-20.0628757198593
"180";-38.240049193347;-19.1284414882936
"181";-39.3815257869016;-19.6439010391983
"182";-39.4716923513602;-19.7284905690537
"183";-38.6892177591693;-19.4303588095021
"184";-37.7943587886256;-19.7728078052329
"185";-39.5156704078414;-18.6991092192144
"186";-37.9173965543618;-19.7584814738868
"187";-38.8269400111014;-19.520856257126
"188";-38.1694773773089;-20.0779624497728
"189";-38.7389814281341;-19.3670191362302
"190";-38.9725546717618;-19.5209650972165
"191";-37.9532656161335;-20.6785230905472
"192";-38.0012967844602;-19.1705588834184
"193";-38.1987331921181;-19.3394999876898
"194";-38.0724173922822;-19.8548153818588
"195";-38.247823610413;-19.1548172877775
"196";-37.8734131531645;-19.0480228536954
"197";-38.1784440249475;-19.9693891571774
"198";-38.3126717844905;-19.276523112587
"199";-38.8120992344596;-19.0795438811149
"200";-38.1350137354697;-19.3584188403431
"201";-38.1759200827524;-19.8496322436587
"202";-38.7674745985418;-19.5359659418956
"203";-38.0057195847844;-19.6538846623732
"204";-39.8247083439217;-20.1342461313798
"205";-39.848013469456;-19.9326919576334
"206";-38.7117731404628;-19.0360499361478
"207";-38.2775505964483;-19.3142173659764
"208";-37.5458780468593;-20.7130426690326
"209";-38.3236216268946;-20.0757763946391
"210";-38.7465784099202;-19.1921662580002
"211";-39.1033690926933;-19.4529165264868
"212";-36.5953054861808;-20.3591150740135
"213";-37.6953837199995;-19.8038175106303
"214";-38.2389946534828;-19.1178023674694
"215";-38.2658957869168;-19.3274711676019
"216";-38.4187745587171;-19.0741994335116
"217";-39.0113378235446;-19.5246358613607
"218";-39.025020658054;-19.3756203294079
"219";-37.901466328058;-19.713635781587
"220";-38.6334990191005;-19.0934138496646
"221";-38.2989109082462;-19.1934033532634
"222";-38.1570585581757;-19.1408561496827
"223";-38.2968209298936;-19.8091829320352
"224";-38.0197221886755;-19.678655237828
"225";-38.1730143560291;-19.2163700587019
"226";-38.1117614584527;-18.8455731750641
"227";-38.2912775331416;-19.170485703833
"228";-37.9541805743451;-20.7052091547688
"229";-38.2105503846531;-19.6351361038011
"230";-38.5626513780323;-19.3913798558885
"231";-38.2287831125727;-18.9741110134085
"232";-39.7761741214092;-19.9176366349729
"233";-38.0219731826371;-18.8506507162913
"234";-38.0466474526893;-18.9772772542396
"235";-38.2157405669101;-19.0380000852708
"236";-38.1082197213469;-20.6671236312038
"237";-37.740433299353;-20.7402357721801
"238";-38.1173631893241;-18.960379974252
"239";-39.4960264588201;-19.6882118428645
"240";-38.2807576049607;-20.0363971043692
"241";-38.1229733161592;-19.6411188103065
"242";-37.6602232963377;-20.7435365779551
"243";-38.1269787811793;-20.0501371430543
"244";-39.5185998956444;-19.7612896437452
"245";-38.3435126088744;-19.31292740666
"246";-38.02673649134;-19.6678194069163
"247";-38.8184575676063;-19.2267124953502
"248";-38.2199115625896;-19.0757950139785
"249";-39.0636955775397;-19.5246543799501
