cv_0;pa;lon;lat;B_CAL_X;B_CV_Max;B_CV_Min;B_Light_Max;B_Light_Min;B_SAL_Max;B_SAL_Min;B_T_Max;B_T_Min
5;1;-42.9316101;-1.83999877;5.240385056;0.3121126;0.417968452;1.078675628;8.532324791;35.38521957;35.10595322;14.91033936;12.83390903
4;1;-43.03419787;-1.842021026;5.636281013;0.50194627;0.679275811;0.994497061;9.326854706;36.70933914;36.10858917;27.93114662;24.10027504
5;1;-42.79232995;-1.986834667;5.63274622;0.505338848;0.726678252;30.84929276;21.4264946;36.7439003;36.09585953;27.5308876;22.46801376
4;1;-43.22681888;-1.692399289;5.638932228;0.584261179;0.699917078;1.417704105;9.981609344;36.75096893;36.13775253;28.31680298;24.30169487
5;1;-43.51315787;-1.293530335;5.640469074;0.699252665;0.682313561;0.427818716;8.007535934;36.82525635;36.16627884;28.10400772;24.07734108
2;1;-42.07330334;-2.379485485;5.683329105;0.256806701;0.789597213;21.94379425;23.02667999;36.52197647;35.89719009;29.0365715;26.04754639
3;1;-42.58211403;-2.049487358;5.229575157;0.403131336;0.58436662;2.26227951;9.605997086;35.92042923;35.37647247;17.41656685;13.98484039
4;1;-41.87652782;-2.252502829;5.617003441;0.344165832;0.830034673;11.85972595;16.86766434;36.81706619;36.17555237;27.86462593;24.27307129
5;1;-43.19429678;-1.723066571;5.638483524;0.58303535;0.695618987;0.506828249;8.76283741;36.75964737;36.14183426;28.21150208;24.05395699
5;1;-42.96261358;-1.834327758;5.635118008;0.358406186;0.512865663;1.296190023;9.194747925;35.70338821;35.34391403;19.1183815;16.40176392
4;1;-42.23225337;-2.149679905;5.215304375;0.356207103;0.699341953;2.318250656;8.565919876;35.98394775;35.54253387;20.55687332;17.09546852
5;1;-42.6434524;-2.033506503;5.231742859;0.442661911;0.596997321;2.129005194;10.04902649;36.32041168;35.60218811;21.25590324;16.96722794
4;1;-43.45250857;-1.349491257;5.640153408;0.655917406;0.682428002;0.145075336;8.856230736;36.71195602;36.07844543;27.27697945;23.49800682
4;1;-42.700562;-2.006153548;5.233595371;0.328841507;0.554461062;2.01482749;10.38741112;35.74438858;35.36055756;19.69250298;16.77197838
2;1;-39.372;-3.156;5.867499828;0.702837646;1.053601146;54.48168182;33.33982086;36.59972382;36.05738068;28.91212082;25.84300232
2;1;-38.82984642;-3.14138628;5.615526199;0.71040535;0.968753457;12.70170784;13.08671093;36.59141159;36.07545853;28.82044983;25.66572189
1;1;-38.98732726;-2.95155034;5.538639069;0.606026053;0.774546921;16.67882919;16.32636833;36.26784515;35.57405472;21.36384201;17.36417198
2;1;-39.67181944;-2.330625467;5.548051834;0.530425787;0.91365099;28.56364441;20.1940155;36.2256813;35.6661911;22.31871033;18.33125114
2;1;-38.94093001;-2.967324134;5.538312435;0.53945893;0.655122757;15.64340687;15.82160378;35.97502518;35.30481339;17.77989769;13.98250675
5;1;-41.64803951;-2.301000098;5.613137245;0.274211794;0.923867047;10.16877937;16.9788208;36.57134247;35.97797394;28.87687302;26.12663651
4;1;-38.43712041;-3.280430799;5.537175179;0.649904191;0.810336351;30.72723961;22.46166992;36.3535881;35.88432312;25.76967812;22.84944725
5;1;-39.20649193;-2.681825255;5.539958477;0.56581068;0.775316894;8.198437691;10.35274696;36.16316986;35.62275696;19.16288185;15.28381538
3;1;-39.10887504;-2.923876877;5.616850853;0.686647177;0.977476954;14.94517803;14.69361305;36.48197937;35.97546005;27.7387619;24.74452972
5;1;-40.09340081;-2.312684534;5.444709301;0.512592554;1.202372193;13.79677677;15.74288559;36.61320877;36.00154114;28.96393013;26.02966881
1;1;-40.86383627;-2.263128733;5.645686626;0.31815201;1.144108295;8.756365776;13.94132423;36.74022675;36.0918045;28.48373413;25.41943359
4;1;-38.38933461;-3.505572043;5.474499226;0.638711035;0.82364285;18.22603798;18.78656387;36.43756104;35.81591415;29.30250931;26.16440392
1;1;-40.90179771;-2.291423263;5.647120953;0.336626768;1.173443556;12.33361816;17.02039719;36.68484116;36.08043671;28.79214096;26.19651413
2;1;-38.33367044;-3.479428288;5.474553108;0.656351686;0.845847547;17.007864;16.9460392;36.46714401;35.86227798;29.26158333;26.16051865
4;1;-41.22102371;-2.243644341;5.599320412;0.2795901;1.004158854;23.12231827;21.70503807;36.89509964;36.15890884;27.87221718;24.27263641
1;1;-41.21195105;-2.369591039;5.656772614;0.241856575;0.908332884;15.79330444;23.19060898;36.50778198;35.8826561;28.95071983;26.19840431
3;1;-41.61896337;-2.286471032;5.61247015;0.293672115;0.948742986;11.73707867;17.363451;36.50269699;35.95968246;27.31354904;24.66386032
1;1;-39.24200389;-2.878726423;5.618195057;0.692513347;0.988125384;12.92386723;14.66951752;36.52419281;35.95367432;28.99027634;25.92464638
3;1;-39.96562223;-2.331625975;5.62554884;0.564261317;1.247831821;9.1216259;12.35276985;36.59016418;35.97680283;29.00285339;26.11977386
2;1;-39.27359602;-2.612795802;5.540682316;0.517513275;0.814565122;7.665850639;10.09798431;35.94985962;35.54839706;21.06584358;18.59027672
1;1;-38.63761654;-3.104202801;2.529177189;0.269633889;0.266041785;8.768013;9.890213013;34.73670959;34.57624054;6.415229797;5.3413167
3;1;-39.34574697;-2.633608768;5.541666508;0.683021307;1.089843631;9.37904644;11.20378017;36.59857178;36.04240036;28.79292297;25.69913292
1;1;-38.97100827;-3.0293926;5.616160393;0.700017571;0.9522385;15.67677021;16.02547646;36.4359169;35.81784439;28.10829735;24.92181587
3;1;-41.3038766;-2.314522825;5.658290863;0.28207162;1.001943111;7.373477459;15.69603539;36.80913925;36.14528275;28.22331047;25.16985703
4;1;-39.12825777;-2.745176659;5.154073238;0.268315375;0.352309853;23.99747086;16.59703827;34.81720352;34.64117432;7.9524827;6.563195229
4;1;-40.05760199;-2.360707411;5.628004074;0.524172187;1.114874482;8.582372665;12.60592651;36.48452759;35.86666107;29.02155876;26.07328606
2;1;-38.9273338;-2.878444811;1.854896903;0.191345617;0.210228577;31.12786674;18.68532372;34.68815994;34.56627655;4.790187359;4.129345417
5;1;-38.96754901;-3.079677953;5.616638184;0.695485592;0.919751763;23.33753777;19.72930145;36.42922592;35.82506561;29.15151215;26.0977459
2;1;-41.74965224;-2.400667899;5.673199177;0.198822886;0.763743877;4.850526333;16.13697433;36.4825592;35.83824921;29.13054276;26.36470795
3;1;-41.32451546;-2.391226704;5.660162926;0.28076905;1.012014508;6.518097878;15.29092216;36.63991928;36.05450821;28.82977104;26.14778137
4;1;-41.6878596;-2.398620939;5.430187225;0.208934262;0.78193754;5.405754566;16.0026741;36.48178864;35.84114456;29.09283066;26.28681564
5;1;-40.74637134;-2.295310031;5.643055439;0.317910582;1.079425216;5.404336929;13.71713638;36.57535172;35.96744919;28.8465519;26.06780815
3;1;-39.3392513;-2.692316864;5.617792606;0.69765377;1.075060964;10.40097713;12.10687065;36.52134705;35.9406662;28.94716072;25.92914581
3;1;-40.59259318;-2.367472572;5.640187263;0.346314996;1.039458513;14.9761343;20.81978607;36.47377014;35.85814667;29.00511742;26.18621063
4;1;-41.5233556;-2.390405489;5.665671349;0.219395831;0.834542632;8.494160652;17.84600258;36.492939;35.83935165;29.06228638;26.27189445
5;1;-39.61392648;-2.425648055;5.619637966;0.588326991;1.127909422;8.618565559;12.35118198;36.54561996;35.98999786;27.75677872;24.58892059
