sp;lon;lat
rodolito;-35.282;-5.361
rodolito;-35.293;-5.413
rodolito;-35.296;-5.416
rodolito;-35.299;-5.414
rodolito;-35.308;-5.369
rodolito;-35.361;-5.396
rodolito;-35.001;-5.999
rodolito;-35.001;-5.978
rodolito;-35.002;-5.954
rodolito;-35.002;-5.93
rodolito;-35.032;-5.956
rodolito;-35.033;-5.977
rodolito;-35.034;-6.001
rodolito;-35.034;-5.931
rodolito;-35.066;-5.978
rodolito;-35.067;-5.953
rodolito;-35.067;-5.931
rodolito;-35.067;-5.907
rodolito;-35.133;-5.907
rodolito;-35.206;-5.421
rodolito;-35.214;-5.404
rodolito;-35.222;-5.429
rodolito;-35.222;-5.387
rodolito;-35.231;-5.412
rodolito;-35.231;-5.37
rodolito;-35.239;-5.437
rodolito;-35.239;-5.395
rodolito;-35.24;-5.353
rodolito;-35.247;-5.379
rodolito;-35.248;-5.421
rodolito;-35.248;-5.336
rodolito;-35.256;-5.446
rodolito;-35.256;-5.404
rodolito;-35.256;-5.362
rodolito;-35.262;-5.432
rodolito;-35.264;-5.387
rodolito;-35.265;-5.346
rodolito;-35.273;-5.453
rodolito;-35.273;-5.371
rodolito;-35.274;-5.415
rodolito;-35.282;-5.432
rodolito;-35.282;-5.396
rodolito;-35.282;-5.354
rodolito;-35.29;-5.379
rodolito;-35.292;-5.415
rodolito;-35.298;-5.404
rodolito;-35.298;-5.363
rodolito;-35.307;-5.388
rodolito;-35.315;-5.371
rodolito;-34.719;-7.064
rodolito;-34.744;-7.016
rodolito;-34.753;-7.064
rodolito;-34.753;-6.984
rodolito;-34.776;-7.017
rodolito;-34.779;-6.984
rodolito;-34.789;-7.064
rodolito;-34.791;-6.984
rodolito;-34.799;-7.018
rodolito;-35.25280556;-5.391555556
rodolito;-35.19444444;-5.253611111
rodolito;-35.23194444;-5.200555556
rodolito;-35.26555556;-5.229166667
rodolito;-35.27416667;-5.233333333
rodolito;-35.33555556;-5.256388889
rodolito;-35.34861111;-5.270555556
rodolito;-35.35222222;-5.262222222
rodolito;-35.47988394;-9.609993652
rodolito;-35.27373478;-9.342367727
rodolito;-35.63860004;-9.871515168
rodolito;-35.12321511;-9.147219657
rodolito;-35.13410369;-9.221197958
rodolito;-35.12020013;-9.095532001
rodolito;-35.86784495;-10.10160708
rodolito;-34.93303837;-9.007060702
rodolito;-35.34890851;-9.506509348
rodolito;-35.37781497;-9.481995551
