Project;X;Y;Ecoregion;Basin;BC region
Kempf1970;-38.28;-2.175;ER75;CE;
Kempf1970;-38.286;-2.21;ER75;CE;
Kempf1970;-38.304;-2.175;ER75;CE;
Kempf1970;-38.34;-2.198;ER75;CE;
Kempf1970;-35.76956024;-4.893982763;ER75;POT;
Kempf1970;-37.79309125;-3.798064856;ER75;POT;
Kempf1970;-37.22063196;-4.405363385;ER75;POT;
Kempf1970;-37.38047326;-4.277393806;ER75;POT;
Kempf1970;-38.24250476;-3.445568352;ER75;POT;
Kempf1970;-38.11536327;-3.579191607;ER75;POT;
Kempf1970;-35.42591649;-4.915999832;ER75;POT;
Kempf1970;-37.41926534;-4.192576762;ER75;POT;
Kempf1970;-35.64838547;-4.80823547;ER75;POT;
Kempf1970;-37.97209356;-3.735439129;ER75;POT;
Kempf1970;-38.1214748;-3.562791353;ER75;POT;
Kempf1970;-37.9673644;-3.835334608;ER75;POT;
Kempf1970;-37.31361516;-4.245532328;ER75;POT;
Kempf1970;-35.6991014;-4.82677276;ER75;POT;
Kempf1970;-35.77575277;-4.801591221;ER75;POT;
Kempf1970;-37.42301514;-4.196399951;ER75;POT;
Kempf1970;-35.69441186;-4.869303481;ER75;POT;
Kempf1970;-37.15375644;-4.396998303;ER75;POT;
Kempf1970;-38.09006506;-3.632840217;ER75;POT;
Kempf1970;-38.1731929;-3.514586595;ER75;POT;
Kempf1970;-36.86450238;-4.616519945;ER75;POT;
Kempf1970;-35.6007265;-4.804114845;ER75;POT;
Kempf1970;-37.2334114;-4.323451555;ER75;POT;
Kempf1970;-38.20506522;-3.596247778;ER75;POT;
Kempf1970;-35.72013298;-4.750695922;ER75;POT;
Kempf1970;-35.50718187;-4.909567772;ER75;POT;
Kempf1970;-35.47193209;-4.906701712;ER75;POT;
Kempf1970;-37.90191511;-3.722121264;ER75;POT;
Kempf1970;-38.00390666;-3.602360693;ER75;POT;
Kempf1970;-37.95712311;-3.760356594;ER75;POT;
Kempf1970;-37.97787124;-3.624203862;ER75;POT;
Kempf1970;-38.28329487;-3.473625481;ER75;POT;
Kempf1970;-37.57207609;-4.1083869;ER75;POT;
Kempf1970;-36.43960275;-4.739129455;ER75;POT;
Kempf1970;-35.48958496;-4.877786298;ER75;POT;
Kempf1970;-37.77253284;-3.91070975;ER75;POT;
Kempf1970;-38.065306;-3.667081115;ER75;POT;
Kempf1970;-37.14018379;-4.478885148;ER75;POT;
Kempf1970;-37.70840551;-3.89650662;ER75;POT;
Kempf1970;-37.78987659;-3.857326552;ER75;POT;
Kempf1970;-38.13332354;-3.476123278;ER75;POT;
Kempf1970;-35.42091297;-4.848006023;ER75;POT;
Kempf1970;-36.00197499;-4.839641673;ER75;POT;
Kempf1970;-37.53259137;-4.101667518;ER75;POT;
Kempf1970;-37.67981535;-4.071207936;ER75;POT;
Kempf1970;-37.02274739;-4.545964103;ER75;POT;
Kempf1970;-38.16269841;-3.623486744;ER75;POT;
Kempf1970;-35.43348468;-4.783067002;ER75;POT;
Kempf1970;-37.06090791;-4.508562971;ER75;POT;
Kempf1970;-38.19361009;-3.446987142;ER75;POT;
Kempf1970;-35.53323897;-4.866224068;ER75;POT;
Kempf1970;-36.22372286;-4.790620895;ER75;POT;
Kempf1970;-38.31261016;-3.576320833;ER75;POT;
Kempf1970;-38.1949955;-3.625140197;ER75;POT;
Kempf1970;-38.24787339;-3.567911809;ER75;POT;
Kempf1970;-36.68023868;-4.678245354;ER75;POT;
Kempf1970;-37.14272891;-4.395561147;ER75;POT;
Kempf1970;-35.2774585;-4.836691184;ER75;POT;
Kempf1970;-38.19995857;-3.41137404;ER75;POT;
Kempf1970;-38.1711907;-3.590956891;ER75;POT;
Kempf1970;-37.75206171;-3.988643733;ER75;POT;
Kempf1970;-37.44965398;-4.217850326;ER75;POT;
Kempf1970;-37.97182628;-3.769789495;ER75;POT;
Kempf1970;-38.09737109;-3.671083018;ER75;POT;
Kempf1970;-35.085;-3.41;ER74;POT;
Kempf1970;-35.327;-3.788;ER75;POT;
Kempf1970;-35.349;-3.845;ER75;POT;
Kempf1970;-35.863;-3.988;ER75;POT;
Kempf1970;-35.884;-4.023;ER75;POT;
Kempf1970;-35.906;-4.095;ER75;POT;
Kempf1970;-35.927;-3.988;ER75;POT;
Kempf1970;-35.97;-3.966;ER75;POT;
Kempf1970;-35.991;-4.038;ER75;POT;
Kempf1970;-37.098;-1.718;ER75;POT;
Kempf1970;-37.109;-1.734;ER75;POT;
BM-POT-16 e -17;-35.425;-5.174;ER75;POT;
BM-POT-16 e -18;-36.699;-5.018;ER75;POT;
Monteiro 2011;-37.251;-4.454;ER75;POT;
Monteiro 2011;-37.254;-4.447;ER75;POT;
